"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Login with wrong password","799","Login eng tc05","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"","1912","Üres keresés","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestUresKerese","test_ures_kereses","",""
"TC06 - Negatív eset: Mentési kísérlet listából ki nem választott, érvénytelen címmel.","5584","TC06 - Negatív eset: Mentési kísérlet listából ki nem választott, érvénytelen címmel.","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"Registration - valid","1750","Registration eng tc01","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"Registration with invalid email","1702","Registration eng tc07","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"","460","Nyelv egységesítése a bejelentkezés oldalon","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLanguageEnglish","test_language_english","",""
"Registration with invalid names and phone number","1758","Registration eng tc06","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"TC02 - Alapadatok módosítása és mentése.","6789","TC02 - Alapadatok módosítása és mentése.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"","2456","Üres keresés","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestUresKerese","test_ures_kereses","",""
"Registration without first name","1717","Registration eng tc04","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"TC07 - Kritikus biztonsági eset: Script injection (XSS) elleni védelem ellenőrzése.","4756","TC07 - Kritikus biztonsági eset: Script injection (XSS) elleni védelem ellenőrzése.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"TC04 - Negatív eset: Mentési kísérlet üresen hagyott ár mezővel.","5969","TC04 - Negatív eset: Mentési kísérlet üresen hagyott ár mezővel.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"Login with wrong email","832","Login eng tc04","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"TC09 - Kritikus biztonsági eset: Stored XSS ellenőrzése frontend validáció kikerülésével.","4593","TC09 - Kritikus biztonsági eset: Stored XSS ellenőrzése frontend validáció kikerülésével.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"","528","Nyelv egységesítése a regisztráció oldalán","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLanguageEnglish","test_language_english","",""
"Registration with short names","1683","Registration eng tc12","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"Registration with same email","1738","Registration eng tc02","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"Registration with wrong password confirmation","1721","Registration eng tc10","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"","1227","Nyelv egységesítése a kiadó oldalon","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLanguageEnglish","test_language_english","",""
"Registration without phone number","1684","Registration eng tc05","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"Registration with wrong email & password confirmation","1436","Registration eng tc11","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"","11852","404-es oldal megjelenítése","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestErrorPage","test_404_page","",""
"Login valid - happy path","824","Login eng tc01","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"","10478","Nyelv egységesítése a főoldalon","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestLanguageEnglish","test_language_english","",""
"TC01 - Ingatlan leírásának módosítása és mentése.","6329","TC01 - Ingatlan leírásának módosítása és mentése.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"Login without email","251","Login eng tc02","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"TC03 - Cím módosítása és mentése.","6721","TC03 - Cím módosítása és mentése.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"","3882","TC01 - Ingatlan törlés.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyDelete","test_property_delete","",""
"","1005","Nyelv egységesítése az eladó oldalon","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLanguageEnglish","test_language_english","",""
"","3582","TC02 - Ingatlan törlésének visszavonása.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyDelete","test_property_delete","",""
"Registration with wrong email confirmation","1738","Registration eng tc08","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"Registration without last name","1747","Registration eng tc03","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"Registration with wrong password","1832","Registration eng tc09","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"TC08 - Kritikus architektúra eset: Szerver oldali validáció ellenőrzése frontend kikerülésével (Bypass kísérlet).","4965","TC08 - Kritikus architektúra eset: Szerver oldali validáció ellenőrzése frontend kikerülésével (Bypass kísérlet).","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"TC05 - Negatív eset: Mentési kísérlet negatív összegű árral.","5195","TC05 - Negatív eset: Mentési kísérlet negatív összegű árral.","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"Login without password","757","Login eng tc03","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
